Date,ExpDate,Strike,CallBid,CallAsk,CallPrice,CallVolume,CallOI,PutBid,PutAsk,PutPrice,PutVolume,PutOI
2025-09-03,2025-09-04,2600,3838.6,3855.6,3829.35,3,0,0,0.05,0.1,0,21
2025-09-03,2025-09-04,2800,3639.8,3656.1,0,0,0,0,0.05,0.1,0,4
2025-09-03,2025-09-04,3000,3438.7,3457.6,3347.6,0,1,0,0.05,0,0,0
2025-09-03,2025-09-04,3200,3239.9,3256,0,0,0,0,0.05,0.1,0,40
2025-09-03,2025-09-04,3400,3038.7,3056.3,0,0,0,0,0.05,0.2,0,20
2025-09-03,2025-09-04,3600,2839.9,2856,0,0,0,0,0.05,0.05,0,31
2025-09-03,2025-09-04,3800,2638.8,2657.7,0,0,0,0,0.05,0.1,0,2
2025-09-03,2025-09-04,4000,2440,2457.8,0,0,0,0,0.05,0.05,0,36
2025-09-03,2025-09-04,4200,2240,2256.1,0,0,0,0,0.05,0.05,0,29
2025-09-03,2025-09-04,4400,2040,2056.3,0,0,0,0,0.05,0.05,0,1399
2025-09-03,2025-09-04,4600,1838.9,1858.1,1836,4,0,0,0.05,0.05,0,728
2025-09-03,2025-09-04,4800,1640,1656.2,1641.39,4,7,0,0.05,0.05,0,772
2025-09-03,2025-09-04,5000,1440.1,1456.2,0,0,0,0,0.05,0.05,0,717
2025-09-03,2025-09-04,5100,1340.1,1358,0,0,0,0,0.05,0.05,0,1138
2025-09-03,2025-09-04,5200,1240.1,1256.4,1220.93,1,21,0,0.05,0.05,0,2148
2025-09-03,2025-09-04,5300,1138.9,1157.9,1136,1,2,0,0.05,0.05,0,1867
2025-09-03,2025-09-04,5375,1065.1,1081.2,0,0,0,0,0.05,0.05,0,294
2025-09-03,2025-09-04,5400,1040.1,1056.3,0,0,0,0,0.05,0.05,0,523
2025-09-03,2025-09-04,5425,1015.1,1031.2,0,0,0,0,0.05,0.05,0,102
2025-09-03,2025-09-04,5450,990.1,1007.9,0,0,0,0,0.05,0.1,0,253
2025-09-03,2025-09-04,5475,965.2,982.9,0,0,0,0,0.05,0.07,0,338
2025-09-03,2025-09-04,5500,940.2,956,0,0,0,0,0.05,0.15,0,129
2025-09-03,2025-09-04,5525,914.2,931.6,0,0,0,0,0.05,0.05,1,138
2025-09-03,2025-09-04,5550,890.2,906.3,0,0,0,0,0.05,0.15,0,68
2025-09-03,2025-09-04,5575,865.2,881.3,0,0,0,0,0.05,0.1,0,448
2025-09-03,2025-09-04,5600,839,856.6,0,0,0,0,0.05,0.03,632,977
2025-09-03,2025-09-04,5625,815.2,833,0,0,0,0,0.05,0.05,1078,119
2025-09-03,2025-09-04,5650,790.2,806.6,0,0,0,0,0.05,0.05,624,1478
2025-09-03,2025-09-04,5675,765.2,781.3,0,0,0,0,0.05,0.05,524,508
2025-09-03,2025-09-04,5700,739,756.5,0,0,0,0,0.05,0.05,822,466
2025-09-03,2025-09-04,5725,714.1,730.8,0,0,0,0.05,0.1,0.05,285,358
2025-09-03,2025-09-04,5750,689.1,705.8,0,0,0,0.05,0.1,0.05,89,949
2025-09-03,2025-09-04,5775,665.2,683,661.78,1,1,0.05,0.1,0.07,96,350
2025-09-03,2025-09-04,5800,640.2,656.4,636.24,2,2,0.05,0.1,0.05,23,939
2025-09-03,2025-09-04,5825,614.1,631.3,0,0,0,0.05,0.1,0.05,116,394
2025-09-03,2025-09-04,5850,590.3,608,620.61,0,2,0.05,0.1,0.05,488,261
2025-09-03,2025-09-04,5875,564.1,583,0,0,0,0.05,0.1,0.1,12,215
2025-09-03,2025-09-04,5900,540.3,558,537.18,1,1,0.05,0.15,0.07,1254,519
2025-09-03,2025-09-04,5910,530.3,548.3,0,0,0,0.05,0.15,0.1,504,0
2025-09-03,2025-09-04,5920,519.8,536.5,0,0,0,0.05,0.1,0.07,113,0
2025-09-03,2025-09-04,5925,515.3,531.4,0,0,0,0.05,0.15,0.1,224,237
2025-09-03,2025-09-04,5930,510.3,526.4,0,0,0,0.05,0.15,0.1,20,0
2025-09-03,2025-09-04,5940,500.3,516.5,0,0,0,0.05,0.15,0.1,365,0
2025-09-03,2025-09-04,5950,490.3,506.4,521.61,0,3,0.05,0.1,0.1,429,612
2025-09-03,2025-09-04,5960,479.1,496.5,434.69,0,2,0.05,0.15,0.1,211,2
2025-09-03,2025-09-04,5970,469.1,488.3,468.27,1,0,0.05,0.15,0.25,0,30
2025-09-03,2025-09-04,5975,464.2,483.2,0,0,0,0.05,0.15,0.1,235,147
2025-09-03,2025-09-04,5980,459.2,478.3,0,0,0,0.05,0.15,0.1,15,35
2025-09-03,2025-09-04,5990,449.2,466.4,0,0,0,0.05,0.15,0.1,35,63
2025-09-03,2025-09-04,6000,439.2,456.6,420.47,8,2,0.05,0.15,0.1,359,1385
2025-09-03,2025-09-04,6010,430.3,445.8,0,0,0,0.1,0.15,0.1,279,200
2025-09-03,2025-09-04,6020,420.3,436.6,421.61,10,2,0.1,0.15,0.1,195,562
2025-09-03,2025-09-04,6025,415.3,431.4,416.56,22,0,0.1,0.15,0.1,51,1924
2025-09-03,2025-09-04,6030,410.3,426.6,411.94,12,2,0.1,0.15,0.1,16,90
2025-09-03,2025-09-04,6035,405.4,421.6,0,0,0,0.1,0.15,0.1,41,0
2025-09-03,2025-09-04,6040,400.4,418.1,0,0,0,0.1,0.15,0.1,96,152
2025-09-03,2025-09-04,6045,395.4,413.4,0,0,0,0.1,0.15,0.12,7,0
2025-09-03,2025-09-04,6050,390.4,408.2,371.98,0,1,0.1,0.15,0.1,808,329
2025-09-03,2025-09-04,6055,384.2,403.4,0,0,0,0.1,0.2,0.1,119,0
2025-09-03,2025-09-04,6060,379.2,396.6,424.84,0,2,0.1,0.2,0.1,188,53
2025-09-03,2025-09-04,6065,375.4,391.6,0,0,0,0.1,0.2,0.15,13,0
2025-09-03,2025-09-04,6070,369.2,386.6,408.56,0,4,0.1,0.2,0.15,300,68
2025-09-03,2025-09-04,6075,364.2,381.6,345.56,5,4,0.1,0.2,0.15,217,166
2025-09-03,2025-09-04,6080,359.2,376.6,362.3,4,8,0.1,0.15,0.15,76,107
2025-09-03,2025-09-04,6085,354.4,371.6,0,0,0,0.1,0.15,0.17,33,1
2025-09-03,2025-09-04,6090,350.4,366.5,0,0,0,0.1,0.15,0.1,57,229
2025-09-03,2025-09-04,6095,345.4,363.4,0,0,0,0.1,0.2,0.15,188,57
2025-09-03,2025-09-04,6100,340.4,358.2,336.39,6,12,0.1,0.2,0.15,395,2595
2025-09-03,2025-09-04,6105,335.4,353.4,0,0,0,0.1,0.2,0.15,21,73
2025-09-03,2025-09-04,6110,330.4,346.5,368.56,0,2,0.1,0.2,0.15,25,186
2025-09-03,2025-09-04,6115,325.4,341.5,0,0,0,0.15,0.2,0.15,90,60
2025-09-03,2025-09-04,6120,320.4,336.5,320.7,4,4,0.15,0.2,0.15,23,153
2025-09-03,2025-09-04,6125,315.4,333.2,353.73,0,6,0.15,0.2,0.15,47,533
2025-09-03,2025-09-04,6130,310.4,328.2,309.54,2,2,0.15,0.2,0.15,110,88
2025-09-03,2025-09-04,6135,305.4,323.2,0,0,0,0.15,0.2,0.15,33,140
2025-09-03,2025-09-04,6140,299.2,316.5,298.58,1,6,0.15,0.2,0.15,4068,152
2025-09-03,2025-09-04,6145,294.3,313.2,0,0,0,0.15,0.2,0.17,56,103
2025-09-03,2025-09-04,6150,289.3,308.2,289.36,2,4,0.15,0.2,0.15,1215,2935
2025-09-03,2025-09-04,6155,284.3,303.2,0,0,0,0.15,0.2,0.2,135,83
2025-09-03,2025-09-04,6160,279.3,298.2,351.04,0,1,0.15,0.25,0.17,150,213
2025-09-03,2025-09-04,6165,274.3,293.2,0,0,0,0.15,0.2,0.2,75,125
2025-09-03,2025-09-04,6170,277.1,279.3,263.52,2,66,0.15,0.25,0.2,113,349
2025-09-03,2025-09-04,6175,265.4,283.2,290.25,0,11,0.15,0.25,0.2,574,513
