quote_date,expiration,strike,option_type,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,trade_volume,open_interest
2019-06-26,2019-06-26,1700,C,78,1209.1,78,1229.2,2917.8,2918.42,0,0
2019-06-26,2019-06-26,1700,P,0,0,1699,0.05,2917.8,2918.42,0,24
2019-06-26,2019-06-26,1800,C,78,1109.1,78,1129.2,2917.8,2918.42,0,0
2019-06-26,2019-06-26,1800,P,0,0,5956,0.05,2917.8,2918.42,0,4333
2019-06-26,2019-06-26,1850,C,78,1059.1,78,1079.2,2917.8,2918.42,0,0
2019-06-26,2019-06-26,1850,P,0,0,7956,0.05,2917.8,2918.42,0,11328
2019-06-26,2019-06-26,1900,C,79,1009.1,79,1029.2,2917.8,2918.42,0,20
2019-06-26,2019-06-26,1900,P,0,0,5067,0.05,2917.8,2918.42,0,3240
2019-06-26,2019-06-26,1950,C,78,959.1,78,979.2,2917.8,2918.42,0,0
2019-06-26,2019-06-26,1950,P,0,0,2084,0.05,2917.8,2918.42,0,382
2019-06-26,2019-06-26,2000,C,10,915.5,10,920.8,2917.8,2918.42,0,7
2019-06-26,2019-06-26,2000,P,0,0,2451,0.05,2917.8,2918.42,0,705
2019-06-26,2019-06-26,2050,C,10,865.6,10,870.7,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2050,P,0,0,1782,0.05,2917.8,2918.42,0,63
2019-06-26,2019-06-26,2100,C,10,815.5,10,820.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2100,P,0,0,1767,0.05,2917.8,2918.42,0,55
2019-06-26,2019-06-26,2150,C,10,765.5,10,770.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2150,P,0,0,1782,0.05,2917.8,2918.42,0,43
2019-06-26,2019-06-26,2200,C,10,715.5,10,720.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2200,P,0,0,1967,0.05,2917.8,2918.42,0,148
2019-06-26,2019-06-26,2225,C,10,690.5,10,695.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2225,P,0,0,1834,0.05,2917.8,2918.42,0,18
2019-06-26,2019-06-26,2250,C,10,665.5,10,670.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2250,P,0,0,1834,0.05,2917.8,2918.42,0,15
2019-06-26,2019-06-26,2275,C,10,640.5,10,645.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2275,P,0,0,1749,0.05,2917.8,2918.42,0,13
2019-06-26,2019-06-26,2300,C,10,615.5,10,620.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2300,P,0,0,1782,0.05,2917.8,2918.42,0,79
2019-06-26,2019-06-26,2325,C,10,590.5,10,595.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2325,P,0,0,1727,0.05,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2350,C,10,565.4,10,570.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2350,P,0,0,1749,0.05,2917.8,2918.42,0,36
2019-06-26,2019-06-26,2375,C,10,540.5,10,545.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2375,P,0,0,1827,0.05,2917.8,2918.42,0,216
2019-06-26,2019-06-26,2400,C,10,515.3,10,520.6,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2400,P,0,0,1862,0.05,2917.8,2918.42,0,448
2019-06-26,2019-06-26,2410,C,10,505.5,10,510.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2410,P,0,0,1912,0.05,2917.8,2918.42,0,100
2019-06-26,2019-06-26,2420,C,10,495.5,10,500.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2420,P,0,0,1912,0.05,2917.8,2918.42,0,200
2019-06-26,2019-06-26,2425,C,10,490.5,10,495.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2425,P,0,0,1911,0.05,2917.8,2918.42,0,411
2019-06-26,2019-06-26,2430,C,10,485.5,10,490.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2430,P,0,0,1822,0.05,2917.8,2918.42,0,10
2019-06-26,2019-06-26,2440,C,10,475.5,10,480.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2440,P,0,0,1735,0.05,2917.8,2918.42,0,6
2019-06-26,2019-06-26,2450,C,10,465.5,10,470.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2450,P,0,0,2810,0.05,2917.8,2918.42,0,1188
2019-06-26,2019-06-26,2460,C,10,455.5,10,460.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2460,P,0,0,2298,0.05,2917.8,2918.42,0,894
2019-06-26,2019-06-26,2470,C,10,445.5,10,450.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2470,P,0,0,1805,0.05,2917.8,2918.42,0,226
2019-06-26,2019-06-26,2475,C,10,440.5,10,445.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2475,P,0,0,1876,0.05,2917.8,2918.42,0,255
2019-06-26,2019-06-26,2480,C,10,435.5,10,440.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2480,P,0,0,1714,0.05,2917.8,2918.42,0,22
2019-06-26,2019-06-26,2490,C,10,425.5,10,430.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2490,P,0,0,1709,0.05,2917.8,2918.42,0,16
2019-06-26,2019-06-26,2500,C,10,415.5,10,420.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2500,P,0,0,4721,0.05,2917.8,2918.42,0,2880
2019-06-26,2019-06-26,2510,C,10,405.5,10,410.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2510,P,0,0,1732,0.05,2917.8,2918.42,0,304
2019-06-26,2019-06-26,2520,C,10,395.5,10,400.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2520,P,0,0,5171,0.05,2917.8,2918.42,0,5156
2019-06-26,2019-06-26,2525,C,10,390.7,10,395.7,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2525,P,0,0,1680,0.05,2917.8,2918.42,0,416
2019-06-26,2019-06-26,2530,C,10,385.5,10,390.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2530,P,0,0,4847,0.05,2917.8,2918.42,0,3070
2019-06-26,2019-06-26,2540,C,10,375.5,10,380.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2540,P,0,0,1629,0.05,2917.8,2918.42,0,200
2019-06-26,2019-06-26,2545,C,10,370.5,10,375.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2545,P,0,0,1613,0.05,2917.8,2918.42,0,135
2019-06-26,2019-06-26,2550,C,10,365.5,10,370.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2550,P,0,0,4782,0.05,2917.8,2918.42,0,3485
2019-06-26,2019-06-26,2555,C,10,360.5,10,365.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2555,P,0,0,1484,0.05,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2560,C,10,355.5,10,360.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2560,P,0,0,1609,0.05,2917.8,2918.42,0,373
2019-06-26,2019-06-26,2565,C,10,350.7,10,355.7,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2565,P,0,0,1600,0.05,2917.8,2918.42,0,183
2019-06-26,2019-06-26,2570,C,10,345.5,10,350.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2570,P,0,0,1519,0.05,2917.8,2918.42,0,72
2019-06-26,2019-06-26,2575,C,10,340.7,10,345.7,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2575,P,0,0,1536,0.05,2917.8,2918.42,0,287
2019-06-26,2019-06-26,2580,C,10,335.5,10,340.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2580,P,0,0,3931,0.05,2917.8,2918.42,0,3446
2019-06-26,2019-06-26,2585,C,10,330.5,10,335.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2585,P,0,0,1495,0.05,2917.8,2918.42,0,25
2019-06-26,2019-06-26,2590,C,10,325.5,10,330.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2590,P,0,0,1520,0.05,2917.8,2918.42,0,182
2019-06-26,2019-06-26,2595,C,10,320.5,10,325.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2595,P,0,0,1447,0.05,2917.8,2918.42,0,27
2019-06-26,2019-06-26,2600,C,10,315.5,10,320.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2600,P,0,0,3827,0.05,2917.8,2918.42,0,6880
2019-06-26,2019-06-26,2605,C,10,310.5,10,315.8,2917.8,2918.42,0,3
2019-06-26,2019-06-26,2605,P,0,0,2426,0.05,2917.8,2918.42,0,1098
2019-06-26,2019-06-26,2610,C,10,305.5,10,310.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2610,P,0,0,2426,0.05,2917.8,2918.42,0,1069
2019-06-26,2019-06-26,2615,C,10,300.5,10,305.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2615,P,0,0,1546,0.05,2917.8,2918.42,0,76
2019-06-26,2019-06-26,2620,C,10,295.5,10,300.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2620,P,0,0,1457,0.05,2917.8,2918.42,0,37
2019-06-26,2019-06-26,2625,C,10,290.5,10,295.8,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2625,P,0,0,1520,0.05,2917.8,2918.42,0,266
2019-06-26,2019-06-26,2630,C,55,285.8,55,290.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2630,P,0,0,1922,0.05,2917.8,2918.42,0,655
2019-06-26,2019-06-26,2635,C,55,280.8,55,285.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2635,P,0,0,1922,0.05,2917.8,2918.42,0,822
2019-06-26,2019-06-26,2640,C,55,275.8,55,280.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2640,P,0,0,2426,0.05,2917.8,2918.42,0,1413
2019-06-26,2019-06-26,2645,C,55,270.9,55,275.3,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2645,P,0,0,1570,0.05,2917.8,2918.42,0,191
2019-06-26,2019-06-26,2650,C,55,265.9,55,270.3,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2650,P,0,0,3927,0.05,2917.8,2918.42,0,4110
2019-06-26,2019-06-26,2655,C,55,260.8,55,265.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2655,P,0,0,2981,0.05,2917.8,2918.42,0,2313
2019-06-26,2019-06-26,2660,C,55,255.8,55,260.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2660,P,0,0,2022,0.05,2917.8,2918.42,0,937
2019-06-26,2019-06-26,2665,C,55,250.8,55,255.5,2917.8,2918.42,0,17
2019-06-26,2019-06-26,2665,P,0,0,1972,0.05,2917.8,2918.42,0,583
2019-06-26,2019-06-26,2670,C,55,245.9,55,250.4,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2670,P,0,0,1570,0.05,2917.8,2918.42,0,380
2019-06-26,2019-06-26,2675,C,55,240.8,55,245.5,2917.8,2918.42,0,19
2019-06-26,2019-06-26,2675,P,0,0,2926,0.05,2917.8,2918.42,0,2371
2019-06-26,2019-06-26,2680,C,55,235.8,55,240.5,2917.8,2918.42,1,1
2019-06-26,2019-06-26,2680,P,0,0,2022,0.05,2917.8,2918.42,0,646
2019-06-26,2019-06-26,2685,C,55,230.8,55,235.5,2917.8,2918.42,1,6
2019-06-26,2019-06-26,2685,P,0,0,3026,0.05,2917.8,2918.42,0,2555
2019-06-26,2019-06-26,2690,C,55,225.8,55,230.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2690,P,0,0,2526,0.05,2917.8,2918.42,0,1118
2019-06-26,2019-06-26,2695,C,55,220.8,55,225.5,2917.8,2918.42,0,0
2019-06-26,2019-06-26,2695,P,0,0,2526,0.05,2917.8,2918.42,0,1107
2019-06-26,2019-06-26,2700,C,60,215.8,55,220.5,2917.8,2918.42,0,105
2019-06-26,2019-06-26,2700,P,0,0,4027,0.05,2917.8,2918.42,0,3812
2019-06-26,2019-06-26,2705,C,57,210.8,55,215.5,2917.8,2918.42,0,45
2019-06-26,2019-06-26,2705,P,0,0,1972,0.05,2917.8,2918.42,0,576
2019-06-26,2019-06-26,2710,C,56,205.8,55,210.5,2917.8,2918.42,0,33
2019-06-26,2019-06-26,2710,P,0,0,1570,0.05,2917.8,2918.42,0,106
2019-06-26,2019-06-26,2715,C,56,200.8,55,205.5,2917.8,2918.42,0,22
2019-06-26,2019-06-26,2715,P,0,0,2926,0.05,2917.8,2918.42,0,1331
2019-06-26,2019-06-26,2720,C,56,195.8,55,200.5,2917.8,2918.42,0,20
2019-06-26,2019-06-26,2720,P,0,0,1570,0.05,2917.8,2918.42,0,484
2019-06-26,2019-06-26,2725,C,55,190.8,55,195.5,2917.8,2918.42,0,8
2019-06-26,2019-06-26,2725,P,0,0,2525,0.05,2917.8,2918.42,0,286
2019-06-26,2019-06-26,2730,C,56,185.8,55,190.5,2917.8,2918.42,0,24
2019-06-26,2019-06-26,2730,P,0,0,3813,0.05,2917.8,2918.42,296,1341
2019-06-26,2019-06-26,2735,C,56,180.8,55,185.2,2917.8,2918.42,0,22
2019-06-26,2019-06-26,2735,P,0,0,3957,0.05,2917.8,2918.42,0,2575
2019-06-26,2019-06-26,2740,C,56,175.8,55,180.5,2917.8,2918.42,0,23
2019-06-26,2019-06-26,2740,P,0,0,2926,0.05,2917.8,2918.42,0,544
2019-06-26,2019-06-26,2745,C,56,170.8,55,175.5,2917.8,2918.42,2,29
2019-06-26,2019-06-26,2745,P,0,0,2524,0.05,2917.8,2918.42,0,103
2019-06-26,2019-06-26,2750,C,60,165.8,55,170.5,2917.8,2918.42,4,379
2019-06-26,2019-06-26,2750,P,0,0,9618,0.05,2917.8,2918.42,35,8616
2019-06-26,2019-06-26,2755,C,55,160.9,55,165.4,2917.8,2918.42,1,1
2019-06-26,2019-06-26,2755,P,0,0,2976,0.05,2917.8,2918.42,0,890
2019-06-26,2019-06-26,2760,C,37,157.5,55,160.5,2917.8,2918.42,4,38
2019-06-26,2019-06-26,2760,P,0,0,3963,0.05,2917.8,2918.42,0,1418
2019-06-26,2019-06-26,2765,C,57,150.8,55,155.5,2917.8,2918.42,1,46
2019-06-26,2019-06-26,2765,P,0,0,2976,0.05,2917.8,2918.42,0,505
2019-06-26,2019-06-26,2770,C,58,145.8,55,150.5,2917.8,2918.42,0,64
2019-06-26,2019-06-26,2770,P,0,0,3982,0.05,2917.8,2918.42,0,1731
2019-06-26,2019-06-26,2775,C,57,141,55,145.4,2917.8,2918.42,0,52
2019-06-26,2019-06-26,2775,P,0,0,5483,0.05,2917.8,2918.42,0,3506
2019-06-26,2019-06-26,2780,C,58,136,55,140.4,2917.8,2918.42,0,64
2019-06-26,2019-06-26,2780,P,0,0,3117,0.05,2917.8,2918.42,1,846
